reservoir_name,basin,subbasin,agency_name,lat,long,date,year,month,full_reservoir_level,live_capacity_frl,storage,level,rainfall_mm,avg_temperature_c,rainfall_last_3_days,catchment_area_sqkm,runoff_coefficient,estimated_inflow,storage_percentage
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-01,2025,3,320.04,0.095,0.0162138619076344,306.4641927832114,93.63502971184062,22.344798739922552,93.63502971184062,3026.2892967498715,0.7251588540787994,205.4858629121239,17.067223060667793
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-02,2025,3,320.04,0.095,0.0054875365361474,306.6521996223527,237.67857660247904,36.883454097509556,331.31360631431966,3026.2892967498715,0.7251588540787994,521.595257236403,5.776354248576211
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-03,2025,3,320.04,0.095,0.0180698002101641,306.8052542522592,182.99848545285127,31.44524147790578,514.312091767171,3026.2892967498715,0.7251588540787994,401.5975838381747,19.020842326488523
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-04,2025,3,320.04,0.095,0.0312058777522461,306.73302735587714,149.66462104925915,35.954392933029084,570.3416831045895,3026.2892967498715,0.7251588540787994,328.4450690982591,32.848292370785366
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-05,2025,3,320.04,0.095,0.0025856551080962,306.49909415268905,39.00466011060913,26.219660800207265,371.66776661271956,3026.2892967498715,0.7251588540787994,85.59730546450704,2.7217422190486316
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-06,2025,3,320.04,0.095,0.0023819179390869,306.3448985000365,38.99863008405066,28.211507419238206,227.66791124391895,3026.2892967498715,0.7251588540787994,85.5840723271378,2.5072820411441055
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-07,2025,3,320.04,0.095,0.0312179067892729,305.68964663440295,14.520903042049865,22.54186969980374,92.52419323670965,3026.2892967498715,0.7251588540787994,31.86670951076315,32.860954515024105
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-08,2025,3,320.04,0.095,0.0180284085527689,305.49970697902194,216.5440364437338,39.306861842334015,270.0635695698343,3026.2892967498715,0.7251588540787994,475.21465336266357,18.977272160809367
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-09,2025,3,320.04,0.095,0.0,305.8751237551621,150.2787529358022,34.02162232061464,381.34369242158584,3026.2892967498715,0.7251588540787994,329.79280638244126,0.0
Aliyar Reservoir,West flowing rivers from Tadri to Kanyakumari Basin,0.0,0.0,10.47266817,76.97459708,2024-03-10,2025,3,320.04,0.095,0.0151118055423642,306.4672740361706,177.01814444901137,38.797691579667514,543.8409338285473,3026.2892967498715,0.7251588540787994,388.4734834297632,15.907163728804422
